E step/V	I delta/uA	
5.3906542E-001	7.9946313E+003
5.3952354E-001	0.0000000E+000
5.3952354E-001	8.0062056E+003
5.4009610E-001	0.0000000E+000
5.4009610E-001	8.0181577E+003
5.4057330E-001	0.0000000E+000
5.4057330E-001	8.0297202E+003
5.4101235E-001	0.0000000E+000
5.4101235E-001	8.0402490E+003
5.4147041E-001	0.0000000E+000
5.4147041E-001	8.0488071E+003
5.4198575E-001	0.0000000E+000
5.4198575E-001	8.0619688E+003
5.4261565E-001	0.0000000E+000
5.4261565E-001	8.0743872E+003
5.4305464E-001	0.0000000E+000
5.4305464E-001	8.0868120E+003
5.4357004E-001	0.0000000E+000
5.4357004E-001	8.0965034E+003
5.4412353E-001	0.0000000E+000
5.4412353E-001	8.1090850E+003
5.4450530E-001	0.0000000E+000
5.4450530E-001	8.1198979E+003
5.4505885E-001	0.0000000E+000
5.4505885E-001	8.1326187E+003
5.4549783E-001	0.0000000E+000
5.4549783E-001	8.1425181E+003
5.4593682E-001	0.0000000E+000
5.4593682E-001	8.1556104E+003
5.4664308E-001	0.0000000E+000
5.4664308E-001	8.1663970E+003
5.4702485E-001	0.0000000E+000
5.4702485E-001	8.1774048E+003
5.4754019E-001	0.0000000E+000
5.4754019E-001	8.1891753E+003
5.4809374E-001	0.0000000E+000
5.4809374E-001	8.2025498E+003
5.4859000E-001	0.0000000E+000
5.4859000E-001	8.2144648E+003
5.4900992E-001	0.0000000E+000
5.4900992E-001	8.2247988E+003
5.4963982E-001	0.0000000E+000
5.4963982E-001	8.2357432E+003
5.5002153E-001	0.0000000E+000
5.5002153E-001	8.2464551E+003
5.5053687E-001	0.0000000E+000
5.5053687E-001	8.2591699E+003
5.5103314E-001	0.0000000E+000
5.5103314E-001	8.2713994E+003
5.5154854E-001	0.0000000E+000
5.5154854E-001	8.2826777E+003
5.5194938E-001	0.0000000E+000
5.5194938E-001	8.2939873E+003
5.5252200E-001	0.0000000E+000
5.5252200E-001	8.3050957E+003
5.5309463E-001	0.0000000E+000
5.5309463E-001	8.3169541E+003
5.5360997E-001	0.0000000E+000
5.5360997E-001	8.3287803E+003
5.5408716E-001	0.0000000E+000
5.5408716E-001	8.3401152E+003
5.5450708E-001	0.0000000E+000
5.5450708E-001	8.3515264E+003
5.5507970E-001	0.0000000E+000
5.5507970E-001	8.3646123E+003
5.5559504E-001	0.0000000E+000
5.5559504E-001	8.3746631E+003
5.5601496E-001	0.0000000E+000
5.5601496E-001	8.3858027E+003
5.5651122E-001	0.0000000E+000
5.5651122E-001	8.3985869E+003
5.5704570E-001	0.0000000E+000
5.5704570E-001	8.4120693E+003
5.5761832E-001	0.0000000E+000
5.5761832E-001	8.4210117E+003
5.5803823E-001	0.0000000E+000
5.5803823E-001	8.4350225E+003
5.5857265E-001	0.0000000E+000
5.5857265E-001	8.4457031E+003
5.5918348E-001	0.0000000E+000
5.5918348E-001	8.4566924E+003
5.5958426E-001	0.0000000E+000
5.5958426E-001	8.4692422E+003
5.6013781E-001	0.0000000E+000
5.6013781E-001	8.4812959E+003
5.6046230E-001	0.0000000E+000
5.6046230E-001	8.4913652E+003
5.6109220E-001	0.0000000E+000
5.6109220E-001	8.5061445E+003
5.6151211E-001	0.0000000E+000
5.6151211E-001	8.5158867E+003
5.6202745E-001	0.0000000E+000
5.6202745E-001	8.5288154E+003
5.6244737E-001	0.0000000E+000
5.6244737E-001	8.5413477E+003
5.6311542E-001	0.0000000E+000
5.6311542E-001	8.5509316E+003
5.6351626E-001	0.0000000E+000
5.6351626E-001	8.5622227E+003
5.6406981E-001	0.0000000E+000
5.6406981E-001	8.5748115E+003
5.6458515E-001	0.0000000E+000
5.6458515E-001	8.5868018E+003
5.6494784E-001	0.0000000E+000
5.6494784E-001	8.5993018E+003
5.6555861E-001	0.0000000E+000
5.6555861E-001	8.6095225E+003
5.6595945E-001	0.0000000E+000
5.6595945E-001	8.6205176E+003
5.6651300E-001	0.0000000E+000
5.6651300E-001	8.6340508E+003
5.6700927E-001	0.0000000E+000
5.6700927E-001	8.6455869E+003
5.6752461E-001	0.0000000E+000
5.6752461E-001	8.6558203E+003
5.6807816E-001	0.0000000E+000
5.6807816E-001	8.6695615E+003
5.6857443E-001	0.0000000E+000
5.6857443E-001	8.6811426E+003
5.6912798E-001	0.0000000E+000
5.6912798E-001	8.6929434E+003
5.6949061E-001	0.0000000E+000
5.6949061E-001	8.7050098E+003
5.6998688E-001	0.0000000E+000
5.6998688E-001	8.7162881E+003
5.7061678E-001	0.0000000E+000
5.7061678E-001	8.7287246E+003
5.7101756E-001	0.0000000E+000
5.7101756E-001	8.7402686E+003
5.7159019E-001	0.0000000E+000
5.7159019E-001	8.7521260E+003
5.7212466E-001	0.0000000E+000
5.7212466E-001	8.7637061E+003
5.7250643E-001	0.0000000E+000
5.7250643E-001	8.7765527E+003
5.7292634E-001	0.0000000E+000
5.7292634E-001	8.7873408E+003
5.7359439E-001	0.0000000E+000
5.7359439E-001	8.7999795E+003
5.7409066E-001	0.0000000E+000
5.7409066E-001	8.8125293E+003
5.7460600E-001	0.0000000E+000
5.7460600E-001	8.8240029E+003
5.7502592E-001	0.0000000E+000
5.7502592E-001	8.8366807E+003
5.7561761E-001	0.0000000E+000
5.7561761E-001	8.8472783E+003
5.7598031E-001	0.0000000E+000
5.7598031E-001	8.8587773E+003
5.7649565E-001	0.0000000E+000
5.7649565E-001	8.8715488E+003
5.7703012E-001	0.0000000E+000
5.7703012E-001	8.8820967E+003
5.7745004E-001	0.0000000E+000
5.7745004E-001	8.8952266E+003
5.7798445E-001	0.0000000E+000
5.7798445E-001	8.9062979E+003
5.7848072E-001	0.0000000E+000
5.7848072E-001	8.9186279E+003
5.7905334E-001	0.0000000E+000
5.7905334E-001	8.9303779E+003
5.7949239E-001	0.0000000E+000
5.7949239E-001	8.9414990E+003
5.8010316E-001	0.0000000E+000
5.8010316E-001	8.9539746E+003
5.8052307E-001	0.0000000E+000
5.8052307E-001	8.9656504E+003
5.8107662E-001	0.0000000E+000
5.8107662E-001	8.9774883E+003
5.8151561E-001	0.0000000E+000
5.8151561E-001	8.9883643E+003
5.8197373E-001	0.0000000E+000
5.8197373E-001	9.0020732E+003
5.8252722E-001	0.0000000E+000
5.8252722E-001	9.0134717E+003
5.8304262E-001	0.0000000E+000
5.8304262E-001	9.0254805E+003
5.8355796E-001	0.0000000E+000
5.8355796E-001	9.0374326E+003
5.8409238E-001	0.0000000E+000
5.8409238E-001	9.0486797E+003
5.8449322E-001	0.0000000E+000
5.8449322E-001	9.0632910E+003
5.8495134E-001	0.0000000E+000
5.8495134E-001	9.0720000E+003
5.8554304E-001	0.0000000E+000
5.8554304E-001	9.0851230E+003
5.8615386E-001	0.0000000E+000
5.8615386E-001	9.0979199E+003
5.8647835E-001	0.0000000E+000
5.8647835E-001	9.1106592E+003
5.8699369E-001	0.0000000E+000
5.8699369E-001	9.1226113E+003
5.8750904E-001	0.0000000E+000
5.8750904E-001	9.1346328E+003
5.8806258E-001	0.0000000E+000
5.8806258E-001	9.1459365E+003
5.8850157E-001	0.0000000E+000
5.8850157E-001	9.1570459E+003
5.8905512E-001	0.0000000E+000
5.8905512E-001	9.1700996E+003
5.8947504E-001	0.0000000E+000
5.8947504E-001	9.1815293E+003
5.9000945E-001	0.0000000E+000
5.9000945E-001	9.1951875E+003
5.9058207E-001	0.0000000E+000
5.9058207E-001	9.2052266E+003
5.9117383E-001	0.0000000E+000
5.9117383E-001	9.2180088E+003
5.9159374E-001	0.0000000E+000
5.9159374E-001	9.2295713E+003
5.9207094E-001	0.0000000E+000
5.9207094E-001	9.2404717E+003
5.9258628E-001	0.0000000E+000
5.9258628E-001	9.2537471E+003
