波長 (nm),0 mV,50 mV,100 mV,150 mV,200 mV,300 mV,400 mV,500 mV,600 mV,700 mV,800 mV,100-0,200-100,300-200,400-300,500-400,600-500,700-600,800-700,800 - 500,500 - 300,Raw data name,Mod column name
421,0.001,0.008,0.012,0.018,0.029,0.033,0.036,0.042,0.045,0.05,0.051,0.011,0.017,0.004,0.003,0.006,0.003,0.005,0.001,0.009,0.008,,
422,-0.001,0.004,0.01,0.017,0.027,0.03,0.037,0.041,0.046,0.048,0.054,0.011,0.017,0.003,0.007,0.004,0.005,0.002,0.006,0.013,0.01,,
423,0.003,0.01,0.009,0.019,0.027,0.034,0.036,0.044,0.048,0.051,0.055,0.006,0.018,0.007,0.002,0.008,0.004,0.003,0.004,0.011,0.01,,
424,0.005,0.012,0.016,0.024,0.033,0.041,0.043,0.049,0.049,0.054,0.053,0.011,0.017,0.008,0.002,0.006,0,0.005,-0.001,0.004,0.008,,
425,-0.003,0.007,0.01,0.014,0.026,0.03,0.038,0.045,0.046,0.046,0.05,0.013,0.016,0.004,0.008,0.007,0.001,0,0.004,0.004,0.015,,
426,0,0.006,0.01,0.017,0.025,0.033,0.034,0.043,0.049,0.051,0.053,0.01,0.015,0.008,0.001,0.009,0.006,0.002,0.002,0.01,0.01,,
427,0,0.008,0.012,0.019,0.027,0.034,0.04,0.044,0.048,0.052,0.054,0.012,0.015,0.007,0.006,0.004,0.004,0.004,0.002,0.01,0.01,,
428,-0.003,0.003,0.009,0.014,0.029,0.032,0.04,0.04,0.044,0.046,0.051,0.012,0.02,0.003,0.008,0,0.004,0.002,0.005,0.011,0.008,,
429,0.001,0.005,0.011,0.019,0.03,0.036,0.042,0.045,0.047,0.055,0.053,0.01,0.019,0.006,0.006,0.003,0.002,0.008,-0.002,0.008,0.009,,
430,0,0.006,0.011,0.017,0.031,0.038,0.039,0.048,0.046,0.052,0.053,0.011,0.02,0.007,0.001,0.009,-0.002,0.006,0.001,0.004,0.011,,
431,-0.001,0.007,0.01,0.017,0.03,0.034,0.041,0.045,0.046,0.05,0.053,0.011,0.02,0.004,0.007,0.004,0.001,0.004,0.003,0.009,0.011,,
432,0,0.009,0.009,0.017,0.03,0.035,0.041,0.044,0.048,0.055,0.057,0.009,0.021,0.005,0.006,0.003,0.004,0.007,0.002,0.013,0.009,,
433,0.002,0.005,0.008,0.014,0.027,0.036,0.039,0.045,0.048,0.052,0.055,0.006,0.019,0.009,0.003,0.006,0.003,0.004,0.003,0.01,0.009,,
434,-0.001,0.007,0.01,0.018,0.029,0.036,0.04,0.046,0.049,0.052,0.056,0.011,0.019,0.007,0.004,0.006,0.003,0.003,0.004,0.01,0.01,,
