2theta,intensity,,,,
36.28,235,,,,
36.32,247.083,,,,
36.36,234.167,,,,
36.4,242.083,,,,
36.44,252.083,,,,
36.48,248.333,,,,
36.52,237.083,,,,
36.56,239.167,,,,
36.6,242.083,,,,
36.64,265,,,,
36.68,267.083,,,,
36.72,260.833,,,,
36.76,249.583,,,,
36.8,277.5,,,,
36.84,261.25,,,,
36.88,255.417,,,,
36.92,258.75,,,,
36.96,261.25,,,,
37,294.583,,,,
37.04,295.833,,,,
37.08,272.917,,,,
37.12,297.5,,,,
37.16,307.083,,,,
37.2,302.083,,,,
37.24,333.333,,,,
37.28,342.5,,,,
37.32,333.333,,,,
37.36,336.667,,,,
37.4,337.083,,,,
37.44,390.833,,,,
37.48,378.333,,,,
37.52,381.667,,,,
37.56,407.5,,,,
37.6,420.833,,,,
37.64,429.583,,,,
37.68,482.083,,,,
37.72,562.917,,,,
37.76,662.083,,,,
37.8,816.25,,,,
37.84,1144.17,,,,
37.88,1737.5,,,,
37.92,2557.92,,,,
37.96,3397.92,,,,
38,3787.08,,,,
38.04,3518.75,,,,
38.08,3009.58,,,,
38.12,2328.33,,,,
38.16,1579.17,,,,
38.2,1095.83,,,,
38.24,753.75,,,,
38.28,542.917,,,,
38.32,468.75,,,,
38.36,387.5,,,,
38.4,367.083,,,,
38.44,320.833,,,,
38.48,281.667,,,,
38.52,268.333,,,,
38.56,252.083,,,,
38.6,255.417,,,,
38.64,234.583,,,,
38.68,228.75,,,,
38.72,229.167,,,,
38.76,232.5,,,,
38.8,211.667,,,,
38.84,214.167,,,,
38.88,232.917,,,,
38.92,210,,,,
38.96,214.583,,,,
39,220.833,,,,
39.04,205.417,,,,
39.08,214.583,,,,
39.12,191.25,,,,
39.16,197.917,,,,
39.2,199.583,,,,
39.24,185,,,,
39.28,199.583,,,,
39.32,196.667,,,,
39.36,190,,,,
39.4,189.583,,,,
39.44,185.833,,,,
39.48,201.667,,,,
39.52,205.417,,,,
39.56,187.083,,,,
39.6,184.583,,,,
39.64,185.417,,,,
39.68,194.167,,,,
39.72,195,,,,
39.76,196.667,,,,
39.8,185,,,,
39.84,197.917,,,,
39.88,195.833,,,,
39.92,195.417,,,,
39.96,192.5,,,,
40,195,,,,
40.04,190.417,,,,
40.08,203.75,,,,
40.12,180.417,,,,
40.16,192.5,,,,
40.2,208.333,,,,
40.24,199.583,,,,
40.28,188.75,,,,
40.32,195,,,,
40.36,212.083,,,,
40.4,182.917,,,,
40.44,200,,,,
40.48,191.25,,,,
40.52,215,,,,
40.56,203.75,,,,
40.6,205.417,,,,
40.64,195,,,,
40.68,218.75,,,,
40.72,204.583,,,,
40.76,212.917,,,,
40.8,207.083,,,,
40.84,202.083,,,,
40.88,220.833,,,,
40.92,201.667,,,,
40.96,212.917,,,,
41,199.583,,,,
41.04,217.083,,,,
41.08,215.833,,,,
41.12,215,,,,
41.16,227.917,,,,
41.2,217.083,,,,
41.24,220,,,,
41.28,204.583,,,,
41.32,197.083,,,,
41.36,205.833,,,,
41.4,230.417,,,,
41.44,220.833,,,,
41.48,219.583,,,,
41.52,231.25,,,,
41.56,227.917,,,,
41.6,232.917,,,,
41.64,222.5,,,,
41.68,230,,,,
41.72,210.833,,,,
41.76,237.083,,,,
41.8,234.167,,,,
41.84,228.75,,,,
41.88,228.75,,,,
41.92,215.417,,,,
41.96,230.833,,,,
42,227.917,,,,
42.04,232.5,,,,
